K,C,X,Y,R,S,df,ConfigID,rewards
508,200,128,96,1,1,shi,575,28620801
428,418,40,232,3,3,shi,766,246160201
102,250,88,64,3,3,dla,761,19941681
448,30,144,216,5,5,eye,571,43560721
86,374,96,240,5,5,shi,757,297131033
224,432,208,48,9,9,dla,763,1017632001
492,314,224,184,3,3,shi,767,928859101
176,448,104,80,3,3,eye,766,37273601
512,18,88,152,7,7,eye,763,19014913
314,314,144,72,9,9,shi,757,1086922305
404,314,80,80,5,5,eye,572,102188161
324,408,40,48,7,7,dla,767,158966389
406,82,104,56,7,7,eye,762,26177025
400,222,88,88,3,3,eye,573,46868641
36,84,96,256,1,1,shi,767,1257985
320,72,72,104,5,5,dla,765,109235201
152,426,160,248,9,9,shi,763,3189456889
460,94,216,216,1,1,eye,766,40932865
172,420,48,72,7,7,shi,567,297556561
170,480,168,248,9,9,shi,765,4230731521
388,160,200,32,3,3,dla,765,63243181
42,364,32,144,1,1,eye,762,2515969
456,86,248,216,9,9,eye,767,305257345
244,508,200,248,9,9,shi,759,7713532961
186,290,232,136,1,1,eye,766,32183041
256,288,56,128,7,7,eye,763,65193985
302,406,216,80,7,7,shi,757,2527033321
336,144,104,184,7,7,eye,767,123492097
100,430,112,8,5,5,dla,765,7590241
490,510,184,40,7,7,shi,573,2180277541
208,438,224,256,5,5,shi,763,2006292289
70,196,240,32,1,1,eye,765,1931777
10,252,208,128,9,9,dla,766,77856001
474,152,112,48,5,5,eye,761,32637745
136,480,56,128,7,7,eye,703,57723841.0
116,288,256,80,9,9,dla,759,841464001
368,282,32,8,1,1,shi,383,3636673
84,442,160,224,1,1,eye,767,27029185
416,26,176,200,5,5,dla,763,352357825
228,282,192,40,9,9,shi,767,958380103
498,288,32,120,7,7,shi,761,365635585
158,56,112,64,9,9,eye,757,10095569
104,68,152,40,5,5,dla,763,27844129
256,64,208,128,1,1,shi,765,7614465
420,316,144,104,5,5,shi,767,929659361
466,22,136,176,5,5,eye,575,27117091
28,488,256,96,3,3,eye,762,15990785
324,288,104,80,9,9,shi,575,1451359297
472,14,144,144,5,5,eye,571,13946185
252,130,184,256,5,5,eye,767,125724691
214,274,8,192,3,3,dla,767,11183401
174,336,200,16,7,7,eye,761,22995841
134,388,48,72,9,9,shi,757,168584061
394,48,176,72,9,9,dla,760,344859649
426,326,88,72,7,7,eye,569,136561401
6,496,160,160,5,5,eye,764,7190017
94,306,256,256,3,3,shi,760,267792841
512,436,56,16,5,5,dla,763,56189953
254,378,152,72,7,7,shi,625,1375755949.0
350,316,80,120,1,1,dla,766,18432001
410,370,112,120,5,5,dla,765,773553889
340,290,88,80,3,3,dla,765,103772761
364,472,160,80,5,5,shi,762,1341673217
494,128,248,192,7,7,shi,757,2252734849
4,110,192,136,3,3,shi,569,2278321
476,378,40,152,5,5,shi,762,486422497
148,490,96,88,7,7,dla,759,430342561
332,480,80,64,5,5,eye,572,96330241
390,16,136,48,9,9,eye,765,5060641.0
358,116,24,152,7,7,shi,757,110069965
394,134,224,80,3,3,shi,767,212698201
66,220,224,48,3,3,eye,766,8448001
48,140,144,168,1,1,eye,767,3669121
286,512,80,104,1,1,eye,766,33226753
228,266,88,136,9,9,eye,575,147526261
150,426,176,176,9,9,shi,765,2609017831
172,478,216,224,9,9,shi,759,5542673857
142,384,208,64,1,1,shi,767,12460033
500,28,48,176,5,5,dla,573,94978401
120,6,200,104,5,5,eye,767,1444801
6,276,200,168,7,7,shi,765,47248993
358,388,88,64,7,7,dla,767,588269641
448,372,80,64,9,9,eye,763,189279553
190,418,136,200,1,1,eye,767,52166401
388,324,104,192,7,7,eye,759,334331065
408,224,88,232,5,5,dla,767,784006273
384,142,176,256,3,3,shi,767,342617601
36,432,32,256,5,5,shi,767,43576705
102,242,192,152,7,7,shi,761,675243163
126,62,80,88,5,5,eye,764,6669713
152,492,72,248,3,3,shi,763,189353089
214,228,256,112,9,9,dla,757,1799353089
282,350,216,40,5,5,eye,761,79486401
86,506,112,1,1,1,shi,190,5440513
60,130,152,16,3,3,eye,767,1062751
214,144,64,72,9,9,shi,757,139889233.0
22,296,184,152,5,5,eye,766,14705281
212,408,240,248,7,7,shi,759,3969993409
480,18,232,88,1,1,eye,767,3294721
338,220,136,168,7,7,eye,573,264432961
42,234,136,80,7,7,eye,570,15938209
444,100,184,56,9,9,eye,767,64801801
70,20,224,112,3,3,shi,765,5615121
22,286,96,224,1,1,eye,766,3075073
360,310,224,232,7,7,eye,767,723056401
384,354,136,184,5,5,eye,767,368250625
376,100,176,208,3,3,eye,763,71021701
6,304,80,232,9,9,shi,766,42560001
434,90,120,120,5,5,dla,762,293663745
170,92,32,216,7,7,shi,765,79726465
178,356,128,40,9,9,shi,757,616380537
410,114,232,216,5,5,shi,765,1066532017
242,508,56,176,9,9,eye,574,189410849
32,214,200,160,5,5,eye,595,22023169.0
108,240,152,208,5,5,shi,767,383875201
192,12,208,160,1,1,eye,767,1597441.0
10,422,104,144,3,3,eye,766,3686593
234,242,176,232,5,5,eye,704,196234897.0
484,392,160,32,9,9,dla,766,1002236929
494,38,184,104,9,9,shi,565,535602705
494,110,208,104,5,5,eye,766,109296001
46,440,96,224,3,3,shi,757,69787521
182,314,160,136,3,3,shi,762,245091445
88,28,56,200,5,5,shi,766,12822657
52,86,168,240,5,5,dla,567,101636705
130,334,56,200,9,9,eye,765,77469965
242,184,24,256,5,5,shi,754,89120769.0
192,472,80,256,7,7,eye,575,320265217
30,500,224,72,1,1,eye,765,4752001
378,410,168,200,5,5,shi,620,2543945041.0
422,396,112,80,3,3,eye,764,79361569
22,168,80,176,5,5,eye,574,6491521
114,226,80,32,1,1,eye,767,1880321
454,318,256,256,7,7,eye,762,1023909121
206,12,168,168,9,9,eye,757,10879273
414,350,208,32,5,5,eye,656,87326401.0
444,230,128,120,1,1,shi,767,28321281
60,408,256,224,5,5,shi,767,617312161
2,334,144,128,1,1,shi,763,288577
230,454,208,40,7,7,eye,765,102540441
354,498,200,32,3,3,dla,761,154202401
500,508,256,56,9,9,eye,765,494385601
92,202,72,8,1,1,shi,191,1512577
312,352,216,40,3,3,eye,767,51873537
396,298,240,112,7,7,eye,767,370702465
318,322,136,176,7,7,eye,761,377585251
438,472,24,216,9,9,shi,761,1071995073
36,184,152,88,3,3,shi,575,17940001
348,126,168,152,3,3,eye,767,59742901
38,206,48,144,1,1,eye,573,1305217
510,132,144,88,5,5,shi,765,471616993
102,424,88,88,1,1,eye,767,8731009
290,200,192,1,1,1,shi,93,12249601
162,500,240,104,7,7,shi,764,1858104001.0
502,328,72,200,7,7,dla,767,1900472113
72,246,240,48,3,3,eye,767,10296577
64,46,136,176,7,7,eye,571,10846801
300,144,128,136,9,9,shi,767,839908801
362,198,240,200,5,5,eye,766,288541441
418,210,216,184,3,3,eye,766,194712001
114,52,32,136,1,1,shi,767,648961
422,438,80,208,7,7,shi,757,2684927737
470,22,208,248,7,7,shi,765,409501225
456,58,80,72,1,1,dla,767,2845441
2,508,176,240,9,9,eye,767,6458713
466,176,192,56,7,7,eye,767,97029505
256,260,64,200,1,1,shi,765,19036161
22,130,24,256,3,3,shi,766,2273441
366,400,192,208,7,7,shi,713,5339793601.0
266,46,80,120,7,7,shi,762,88773929
280,342,224,24,1,1,eye,765,10112257
352,24,120,232,7,7,shi,766,188814337
58,502,232,208,1,1,eye,695,27148161.0
72,382,240,256,1,1,shi,767,28604161
494,334,192,232,7,7,eye,766,803503801
182,66,208,32,7,7,eye,762,9444865
470,76,24,80,3,3,shi,765,14202273
58,368,96,16,1,1,shi,287,2296321
138,24,24,128,1,1,shi,765,177409
52,120,168,152,5,5,eye,759,14180401
56,158,232,176,5,5,shi,763,151453429
108,166,232,256,9,9,eye,767,162810145
12,240,176,232,9,9,eye,767,17514001
192,484,256,80,1,1,shi,575,51544065
480,398,208,192,7,7,eye,767,1012703041
62,64,176,240,3,3,eye,764,8816641
432,396,168,176,7,7,shi,767,4074935041
88,102,48,200,9,9,shi,766,87258961
178,134,168,152,7,7,shi,757,568870201
494,236,240,64,3,3,dla,766,265608001
326,368,160,184,5,5,shi,757,1409384065
510,16,40,216,1,1,shi,767,1431041
78,240,232,176,3,3,dla,761,114457201.0
228,368,240,16,1,1,eye,767,5817345.0
176,80,16,232,3,3,shi,766,7121921
122,172,16,144,7,7,shi,757,30909433
284,198,144,232,3,3,eye,766,118918801
494,496,152,32,1,1,eye,766,25712641
46,50,248,192,7,7,shi,757,81940951
194,218,192,248,9,9,shi,757,2523056137
306,76,216,248,9,9,shi,764,1567516417
366,232,184,176,5,5,shi,761,1147840417
12,486,80,256,7,7,eye,575,20610289
90,184,152,232,1,1,eye,765,12678337
234,304,1,192,1,1,shi,767,237121
228,74,224,224,7,7,eye,767,106001153
88,280,184,256,9,9,eye,766,167838721
404,126,232,88,3,3,eye,764,53933041
38,236,1,184,1,1,eye,285,1910657
388,358,144,88,3,3,shi,765,358209073
494,76,88,48,5,5,eye,766,16990561
204,198,104,240,9,9,shi,707,1256500873.0
504,8,144,40,9,9,eye,575,3923137
144,138,232,144,9,9,eye,767,103122433
256,458,176,208,5,5,shi,763,2018717441
280,500,128,232,3,3,shi,765,637392001
476,116,240,200,9,9,shi,762,3113472481
418,508,152,224,9,9,eye,574,1239780097
58,170,192,248,7,7,eye,757,51247351
476,502,40,88,5,5,shi,762,430659777
162,90,160,56,1,1,shi,764,2592001
276,194,208,216,5,5,eye,767,231006665
210,258,192,96,5,5,eye,765,77515327
236,36,80,112,5,5,eye,759,9439057
488,386,80,192,9,9,eye,559,641816869.0
194,110,24,208,7,7,shi,757,75415561.0
296,300,40,32,1,1,shi,382,3888001
408,472,184,16,7,7,eye,767,56713633
370,194,72,192,9,9,eye,765,122248519
282,438,192,104,9,9,shi,761,3682629541
334,156,184,208,7,7,eye,760,223693705
126,282,168,248,7,7,eye,764,183226681
296,420,48,128,1,1,eye,766,17418241
90,338,96,24,1,1,shi,573,3212353
60,170,136,80,3,3,shi,575,24678901
464,336,240,32,3,3,eye,763,56904961
72,310,160,240,1,1,shi,767,15475201
98,210,192,56,7,7,eye,762,24272641
214,458,72,232,5,5,dla,767,672005377
144,28,144,248,9,9,dla,575,381104641
88,158,200,136,7,7,dla,766,326851201
78,298,168,208,1,1,shi,765,17622529
282,102,224,136,5,5,dla,761,412193761
278,464,184,104,7,7,eye,764,267024577
114,266,192,24,3,3,eye,761,6671281
166,482,112,224,1,1,shi,767,39300353
258,176,200,216,5,5,eye,761,196556097
464,364,104,120,3,3,eye,763,123294081
178,412,152,200,5,5,dla,767,916797841
142,434,152,120,7,7,eye,766,155380681
246,182,216,184,5,5,dla,761,708745681
462,196,104,64,3,3,eye,766,34574401
82,250,40,232,1,1,shi,767,3640001
178,128,120,224,5,5,shi,757,265388033
482,14,112,48,5,5,dla,574,57708289
80,210,64,200,9,9,shi,765,228649681
24,196,72,120,9,9,dla,767,55795713
50,174,144,176,9,9,shi,765,287559361
422,342,248,152,3,3,eye,764,263613601
226,364,208,176,5,5,shi,757,1263698437.0
312,494,56,104,9,9,shi,575,1198653457
478,480,48,8,1,1,shi,767,11980801
412,426,120,232,5,5,shi,759,2040151489
86,188,232,232,3,3,shi,757,136360913
512,94,256,248,7,7,shi,763,2359138305
278,458,16,216,1,1,shi,765,9028097
458,40,216,136,9,9,eye,764,89352001
262,272,192,24,5,5,dla,767,124493601.0
126,178,160,48,1,1,eye,764,3588481
496,82,216,192,3,3,eye,763,95009793
124,252,64,16,3,3,dla,759,3982385
60,104,224,144,5,5,dla,767,92708001
50,146,120,168,9,9,dla,765,217996801
436,124,160,224,7,7,eye,759,255614593
492,70,192,64,7,7,dla,767,521038825
300,196,80,160,7,7,shi,767,639788101.0
508,342,152,1,1,1,eye,767,573535
26,232,72,112,7,7,eye,757,9554689
508,346,112,176,7,7,eye,759,432828701
432,414,248,120,5,5,eye,767,430665985
488,18,160,208,5,5,eye,763,27145855
394,124,216,176,7,7,shi,757,1510383241
238,102,48,168,7,7,dla,762,159159169
76,200,144,232,7,7,eye,759,74111401
122,62,64,184,1,1,shi,752,1666561.0
290,182,224,128,1,1,dla,765,27439105
68,340,176,168,3,3,eye,759,35928481
330,82,40,48,1,1,shi,574,1180801
28,440,184,152,1,1,shi,762,7772161
268,326,176,8,3,3,dla,765,15390649.0
460,356,24,216,3,3,shi,765,130221953
176,84,248,88,1,1,eye,766,5677057
242,116,120,224,9,9,shi,766,1018809441
108,180,56,96,1,1,shi,767,2358721
366,26,136,120,3,3,eye,761,10467601
384,150,176,144,1,1,shi,575,32947201
402,494,232,192,5,5,shi,761,3400422325
302,444,32,240,1,1,eye,574,35804161
112,150,248,168,3,3,eye,763,34339201
158,216,224,184,5,5,shi,757,565364449
68,418,232,232,1,1,eye,765,29868609
230,230,152,120,9,9,dla,765,1203342337
192,298,192,136,1,1,shi,767,35702785
16,56,136,104,3,3,shi,763,2171233
206,344,48,160,1,1,eye,574,12549121
484,8,208,184,5,5,eye,766,13989889.0
134,362,200,248,5,5,shi,757,954637441
370,400,88,232,5,5,shi,765,1244206401
290,388,88,240,5,5,shi,765,945933137
498,6,176,64,1,1,eye,767,628993
378,30,152,120,7,7,eye,764,28402921
382,138,224,112,5,5,eye,767,116971009
126,188,8,72,1,1,eye,764,1895041
434,500,48,136,7,7,shi,570,1340316001
122,208,184,168,5,5,eye,757,64061713
382,296,224,248,9,9,eye,673,995259745.0
348,268,16,16,1,1,eye,383,1616577
150,512,144,72,1,1,eye,573,18247681
198,344,128,192,7,7,shi,766,1221854977.0
98,500,152,232,5,5,eye,762,170016001
472,112,88,224,7,7,eye,763,166204417
308,342,56,256,7,7,shi,766,1032599233.0
148,510,240,72,9,9,eye,759,196248001.0
410,458,144,216,7,7,shi,765,5080575681
460,470,88,136,3,3,shi,573,503897341
330,398,72,112,1,1,shi,766,20632321
244,66,168,168,3,3,eye,762,24837121
242,36,240,184,9,9,eye,766,56517121
288,182,248,120,9,9,dla,767,1883105281
172,272,248,176,5,5,shi,759,857866513
272,274,200,32,3,3,eye,763,27202721
300,496,216,192,9,9,shi,767,7521840001
204,66,192,16,7,7,eye,767,3965149
340,508,40,120,3,3,eye,765,62870081
272,222,168,120,1,1,eye,767,23896081
20,260,16,16,3,3,dla,765,178361
116,216,88,80,7,7,shi,759,201500353
374,362,120,192,3,3,eye,766,157542401
336,270,200,232,9,9,eye,767,551691001
340,444,256,184,5,5,shi,729,2855453689.0
318,226,152,104,1,1,shi,766,23908993
484,374,72,16,5,5,dla,766,59457025
276,116,152,136,7,7,dla,767,514244121
406,290,176,104,3,3,shi,762,370712801
438,56,56,176,1,1,shi,766,4515841.0
94,80,120,176,7,7,eye,757,18612001
66,368,216,104,7,7,shi,766,499979521
400,132,144,64,7,7,eye,573,69996961
442,12,88,136,7,7,dla,767,232313381
202,504,24,120,1,1,dla,767,5091841
184,344,192,216,3,3,eye,763,124756417
334,466,88,88,1,1,shi,767,29853825
120,136,248,184,9,9,shi,767,951892561.0
116,270,136,176,9,9,shi,759,974529631
44,316,168,104,1,1,eye,766,4732417
14,438,136,32,1,1,eye,570,672769
284,90,168,56,5,5,dla,759,122308577
74,172,144,232,5,5,eye,757,44789833
210,346,176,80,7,7,eye,765,117730999.0
238,208,112,48,5,5,eye,762,22404097
502,200,256,224,9,9,eye,767,784627201
506,2,152,176,5,5,eye,766,2666161
336,386,128,200,7,7,shi,767,3102068929
334,28,40,176,5,5,eye,575,8259441
368,360,128,152,5,5,shi,763,1233306001
506,454,88,48,5,5,eye,766,103751713
232,210,232,176,1,1,shi,764,38001601
66,150,56,32,9,9,dla,766,18496513
458,98,224,64,1,1,dla,766,14450689
368,346,240,120,3,3,eye,763,185898881
508,292,72,88,5,5,shi,567,505380753
30,44,216,184,7,7,shi,765,40760281
230,404,176,144,7,7,eye,753,273742321.0
430,260,64,152,9,9,dla,765,1406079361
376,468,40,104,3,3,eye,763,54594073
54,346,256,248,9,9,eye,764,163671841
42,410,176,160,9,9,shi,762,703129501
398,388,208,48,3,3,eye,765,90388481.0
486,198,256,104,3,3,shi,764,441772057
204,358,152,136,3,3,shi,575,296692501
504,364,56,232,5,5,shi,767,954643873
408,376,232,184,7,7,shi,767,5097786193
386,268,256,200,7,7,shi,757,5076400257
354,462,160,240,3,3,shi,761,936039721
208,176,144,48,1,1,eye,574,5778433
460,116,160,208,9,9,eye,765,298597225
318,164,192,104,9,9,eye,761,139689133
472,134,72,208,5,5,shi,763,430529137
412,208,56,72,5,5,shi,567,223280929
224,458,24,136,7,7,shi,571,271573849
116,496,56,72,5,5,shi,759,149910049
106,438,80,144,9,9,eye,565,121084225
86,386,240,224,5,5,shi,757,786612417
120,40,80,224,1,1,shi,767,1664001
56,224,176,160,3,3,eye,763,18199777
250,86,112,72,1,1,eye,767,3380833
188,116,224,192,3,3,dla,764,145267921
402,476,152,128,9,9,eye,761,652318969
240,394,248,72,3,3,shi,767,420004001
412,166,224,8,1,1,eye,767,2416961
294,150,144,160,7,7,dla,762,921146689
452,288,64,40,1,1,eye,767,5690881.0
24,344,88,216,1,1,eye,767,3863809
206,258,48,184,1,1,shi,766,8470657
394,296,24,136,1,1,eye,383,17269825
438,410,152,160,3,3,shi,761,731788501
262,284,176,160,9,9,shi,757,3039752821
18,106,176,240,3,3,shi,764,12000897
104,376,256,160,9,9,dla,763,1908246913
296,164,88,176,5,5,eye,763,85376761
20,34,64,216,7,7,shi,765,7732689
430,200,208,120,7,7,eye,765,287136801
402,42,88,248,3,3,eye,569,25382281.0
178,408,96,104,1,1,shi,767,15275521
236,74,256,64,5,5,eye,759,21166369
308,434,136,16,1,1,eye,574,6999553
334,452,40,48,7,7,eye,760,44699185
454,46,168,112,9,9,eye,762,61139521
12,318,96,184,1,1,shi,767,1190593
24,216,216,152,1,1,eye,767,3414529
266,286,192,72,5,5,shi,570,715940369
394,70,200,24,1,1,dla,767,4118401
136,474,56,96,1,1,eye,763,6962113
66,94,184,72,3,3,eye,766,4060801.0
424,12,16,104,7,7,dla,571,20412421
396,390,208,120,3,3,shi,767,574439581
160,116,120,160,5,5,shi,765,161605633
438,324,240,128,3,3,eye,766,217728001
310,44,216,120,3,3,shi,765,52737697
46,376,80,80,7,7,shi,757,125620849
200,450,32,168,5,5,shi,765,189162001
208,44,152,256,7,7,shi,763,261989729
422,166,168,232,7,7,eye,764,341399917
356,482,104,208,7,7,eye,759,490152549
56,342,256,56,3,3,dla,763,42053257
430,256,24,136,9,9,shi,765,285371393.0
336,402,184,56,9,9,eye,767,197137585
290,398,232,40,7,7,shi,765,1278541967
430,430,240,88,5,5,eye,765,315587321
238,488,256,160,7,7,eye,762,502273025
176,444,184,40,3,3,shi,766,128433217
138,164,208,224,7,7,eye,761,142430721
226,166,88,144,1,1,eye,767,11808577
24,180,48,112,3,3,shi,767,3588481
312,346,224,168,9,9,shi,767,5666832289
202,338,40,72,3,3,eye,767,15031537
466,34,80,232,7,7,dla,767,384167005
