M,N,GEMM_K,df,ConfigID,rewards
406,4608,13608,dla,762,455417857.0
298,56,94,eye,767,1710801.0
230,13680,4900,dla,765,315898561.0
342,644,2106,dla,764,8026817.0
238,11136,21222,shi,570,1172025561.0
294,28208,12350,shi,762,1788456853.0
248,21632,486,eye,763,5794273.0
262,10944,446,shi,575,38777025.0
222,5168,11150,eye,569,69770457.0
2,5888,478,shi,760,263857.0
294,20608,9882,eye,762,122238145.0
472,20532,2070,eye,766,118680001.0
472,5092,2988,shi,763,189866485.0
96,29008,8950,eye,767,103447681.0
54,2340,15876,dla,764,37234081.0
326,4592,10050,shi,757,276388669.0
98,27540,21560,eye,762,152570881.0
416,9380,2538,shi,571,222775489.0
292,2304,34668,shi,567,648125537.0
312,10944,350,shi,767,25552801.0
218,224,142,eye,142,7633921.0
494,30020,3060,eye,766,243270001.0
144,27776,104,shi,767,8047105.0
26,25600,506,shi,764,7772161.0
364,23108,21462,eye,762,501436417.0
502,10368,19278,eye,767,233426593.0
438,212,23128,dla,761,36523361.0
134,22736,3850,shi,757,240368129.0
394,4800,12636,shi,757,478312849.0
490,12596,1440,shi,765,199731841.0
454,4500,18816,eye,762,111621121.0
170,15908,17934,shi,765,1000298497.0
388,240,168,dla,767,308881.0
196,13312,21708,eye,762,136392705.0
258,1920,29322,shi,569,363217045.0
204,27648,224,shi,767,28514305.0
294,960,416,shi,766,2156545.0
100,1152,492,eye,573,1298881.0
490,10752,292,shi,719,29882113.0
494,200,228,eye,766,492481.0
160,9984,304,eye,705,10272769.0
122,38628,4608,shi,757,398520321.0
340,46256,3050,shi,765,979724417.0
510,24644,4900,shi,765,1219879201.0
430,43844,7742,eye,765,373615649.0
492,6164,2286,shi,575,155710129.0
178,35712,9882,eye,565,148667737.0
114,13200,8050,shi,761,220541665.0
350,17748,1314,dla,765,169582141.0
204,13332,1470,dla,383,133493317.0
402,740,1372,eye,569,2213681.0
184,4116,2254,dla,763,37204525.0
450,17280,1944,shi,765,251976961.0
12,2448,1300,eye,767,250433.0
402,21840,50,shi,725,8453257.0
394,960,496,eye,95,25534081.0
232,3840,266,eye,383,16598401.0
198,30660,9800,shi,766,1222776001.0
22,40788,2070,eye,766,12696001.0
392,56628,8624,shi,763,3165421953.0
172,22484,9506,shi,759,755935357.0
138,13348,1332,dla,749,50655661.0
294,26320,4250,eye,762,105557761.0
394,3828,4116,dla,568,148786705.0
406,48144,5100,shi,762,1691550049.0
56,38180,4176,eye,763,53111297.0
368,10608,10700,eye,763,162248809.0
450,4800,27378,shi,765,1182912121.0
6,6912,2430,eye,381,350641.0
236,28224,15552,shi,759,1850462785.0
64,11988,3726,eye,763,17891425.0
474,896,438,eye,767,3644161.0
278,45396,12152,eye,764,380586753.0
256,9636,4116,shi,571,307792129.0
472,8976,10350,shi,763,860674537.0
404,24388,1404,eye,572,105342121.0
66,8192,282,eye,766,2598913.0
144,2484,294,shi,767,2286793.0
408,29952,142,eye,767,36152065.0
206,7040,8424,dla,757,236389121.0
504,30720,16524,eye,767,450179857.0
70,5376,288,dla,765,2069761.0
158,25520,3950,eye,765,60914689.0
142,9216,98,shi,575,3913729.0
204,43648,78,eye,767,12825073.0
508,164,6664,dla,759,12309349.0
506,16000,196,eye,574,43276801.0
154,17360,7700,eye,766,89258401.0
250,5376,90,shi,767,2358721.0
338,33712,7350,eye,765,301079521.0
274,62500,2940,shi,757,806743681.0
468,21888,34668,shi,767,7009838785.0
230,24308,2502,dla,765,254383221.0
22,1024,188,dla,766,73729.0
366,28116,324,eye,761,23914441.0
358,57584,10050,eye,767,696971521.0
174,5120,64,shi,766,983041.0
276,4692,4704,shi,767,179210113.0
302,2788,18424,shi,565,378923025.0
252,7296,11664,dla,767,447237505.0
360,6916,792,shi,575,52052881.0
462,34928,9000,eye,766,600929281.0
452,13440,33696,shi,759,3412968833.0
104,9856,500,eye,767,10296001.0
466,5700,12152,eye,767,91148929.0
298,11776,100,dla,767,7654401.0
30,20304,6700,eye,765,13319065.0
380,13764,3078,eye,765,99341425.0
210,27300,17444,shi,765,1905452977.0
30,7620,1512,eye,765,1834561.0
454,32004,2700,eye,767,208756801.0
72,7744,356,shi,767,4887169.0
278,30084,5880,eye,764,157847041.0
470,5808,7800,shi,573,484307929.0
268,1984,318,eye,765,3022273.0
480,23040,68,shi,767,15275521.0
420,9216,27702,shi,767,2234152621.0
398,13824,18954,eye,762,181823617.0
100,40592,8850,shi,765,609375601.0
178,5300,25088,eye,757,72179713.0
166,2100,3510,eye,575,11902801.0
122,8500,16464,shi,757,341975761.0
122,29524,4998,dla,757,356590873.0
6,19188,2646,shi,570,7433641.0
420,3492,5488,eye,767,27706561.0
30,10404,4194,eye,765,8650825.0
298,17200,6500,shi,757,583424401.0
472,12240,2700,shi,763,260245225.0
370,18768,6950,shi,765,947093737.0
142,14980,1530,eye,574,31824001.0
24,43008,22,eye,767,439297.0
214,40132,1800,shi,760,246407201.0
224,23040,276,shi,767,26178049.0
94,30820,1134,dla,767,53750081.0
508,12288,200,shi,575,28620801.0
428,8740,3762,shi,766,246160201.0
102,5332,2250,dla,761,19941681.0
448,29680,750,eye,571,43560721.0
86,21712,9350,shi,757,297131033.0
224,8000,34992,dla,763,1017632001.0
492,40404,2826,shi,767,928859101.0
176,7956,4032,eye,766,37273601.0
512,11972,882,eye,763,19014913.0
314,8704,25434,shi,757,1086922305.0
404,5776,7850,eye,572,102188161.0
324,1428,19992,dla,767,158966389.0
406,4900,4018,eye,762,26177025.0
400,7396,1998,eye,573,46868641.0
36,24576,84,shi,767,1257985.0
320,6800,1800,dla,765,109235201.0
152,36480,34506,shi,763,3189456889.0
460,46656,94,eye,766,40932865.0
172,2772,20580,shi,567,297556561.0
170,38400,38880,shi,765,4230731521.0
388,5940,1440,dla,765,63243181.0
42,4608,364,eye,762,2515969.0
456,49920,6966,eye,767,305257345.0
244,46080,41148,shi,759,7713532961.0
186,31552,290,eye,766,32183041.0
256,6100,14112,eye,763,65193985.0
302,15540,19894,shi,757,2527033321.0
336,17444,7056,eye,767,123492097.0
100,432,10750,dla,765,7590241.0
490,6052,24990,shi,573,2180277541.0
208,55440,10950,shi,763,2006292289.0
70,7680,196,eye,765,1931777.0
10,24000,20412,dla,766,77856001.0
474,4752,3800,eye,761,32637745.0
136,6100,23520,eye,703,57723841.0
116,17856,23328,dla,759,841464001.0
368,256,282,shi,383,3636673.0
84,35840,442,eye,767,27029185.0
416,33712,650,dla,763,352357825.0
228,5888,22842,shi,767,958380103.0
498,2964,14112,shi,761,365635585.0
158,5824,4536,eye,757,10095569.0
104,5328,1700,dla,763,27844129.0
256,26624,64,shi,765,7614465.0
420,14000,7900,shi,767,929659361.0
466,22704,550,eye,575,27117091.0
28,23876,4392,eye,762,15990785.0
324,6912,23328,shi,575,1451359297.0
472,19600,350,eye,571,13946185.0
252,45360,3250,eye,767,125724691.0
214,1140,2466,dla,767,11183401.0
174,1940,16464,eye,761,22995841.0
134,2560,31428,shi,757,168584061.0
394,10752,3888,dla,760,344859649.0
426,5412,15974,eye,569,136561401.0
6,24336,12400,eye,764,7190017.0
94,64516,2754,shi,760,267792841.0
512,624,10900,dla,763,56189953.0
254,9636,18522,shi,625,1375755949.0
350,9600,316,dla,766,18432001.0
410,12528,9250,dla,765,773553889.0
340,6708,2610,dla,765,103772761.0
364,11856,11800,shi,762,1341673217.0
494,45012,6272,shi,757,2252734849.0
4,25460,990,shi,569,2278321.0
476,5328,9450,shi,762,486422497.0
148,7380,24010,dla,759,430342561.0
332,4560,12000,eye,572,96330241.0
390,5120,1296,eye,765,5060641.0
358,2628,5684,shi,757,110069965.0
394,17316,1206,shi,767,212698201.0
66,10212,1980,eye,766,8448001.0
48,24192,140,eye,767,3669121.0
286,8320,512,eye,766,33226753.0
228,10240,21546,eye,575,147526261.0
150,28224,34506,shi,765,2609017831.0
172,44928,38718,shi,759,5542673857.0
142,13312,384,shi,767,12460033.0
500,7568,700,dla,573,94978401.0
120,19600,150,eye,767,1444801.0
6,31428,13524,shi,765,47248993.0
358,4756,19012,dla,767,588269641.0
448,4032,30132,eye,763,189279553.0
190,27200,418,eye,767,52166401.0
388,18228,15876,eye,759,334331065.0
408,19152,5600,dla,767,784006273.0
384,44196,1278,shi,767,342617601.0
36,7056,10800,shi,767,43576705.0
102,27156,11858,shi,761,675243163.0
126,6384,1550,eye,764,6669713.0
152,17220,4428,shi,763,189353089.0
214,25792,18468,dla,757,1799353089.0
282,7632,8750,eye,761,79486401.0
86,112,506,shi,190,5440513.0
60,2100,1170,eye,767,1062751.0
214,3584,11664,shi,757,139889233.0
22,26640,7400,eye,766,14705281.0
212,56628,19992,shi,759,3969993409.0
480,20416,18,eye,767,3294721.0
338,21060,10780,eye,573,264432961.0
42,9620,11466,eye,570,15938209.0
444,8448,8100,eye,767,64801801.0
70,24420,180,shi,765,5615121.0
22,21504,286,eye,766,3075073.0
360,49268,15190,eye,767,723056401.0
384,23760,8850,eye,767,368250625.0
376,35844,900,eye,763,71021701.0
6,16128,24624,shi,766,42560001.0
434,13456,2250,dla,762,293663745.0
170,5460,4508,shi,765,79726465.0
178,3840,28836,shi,757,616380537.0
410,48336,2850,shi,765,1066532017.0
242,8064,41148,eye,574,189410849.0
32,30576,5350,eye,595,22023169.0
108,30192,6000,shi,767,383875201.0
192,33280,12,eye,767,1597441.0
10,14484,3798,eye,766,3686593.0
234,39216,6050,eye,704,196234897.0
484,3648,31752,dla,766,1002236929.0
494,16896,3078,shi,565,535602705.0
494,20400,2750,eye,766,109296001.0
46,20868,3960,shi,757,69787521.0
182,21172,2826,shi,762,245091445.0
88,10192,700,shi,766,12822657.0
52,38704,2150,dla,567,101636705.0
130,9216,27054,eye,765,77469965.0
242,5040,4600,shi,754,89120769.0
192,18500,23128,eye,575,320265217.0
30,16128,500,eye,765,4752001.0
378,32144,10250,shi,620,2543945041.0
422,8580,3564,eye,764,79361569.0
22,13072,4200,eye,574,6491521.0
114,2560,226,eye,767,1880321.0
454,62500,15582,eye,762,1023909121.0
206,25600,972,eye,757,10879273.0
414,5712,8750,eye,656,87326401.0
444,15360,230,shi,767,28321281.0
60,55440,10200,shi,767,617312161.0
2,18432,334,shi,763,288577.0
230,6868,22246,eye,765,102540441.0
354,5940,4482,dla,761,154202401.0
500,11904,41148,eye,765,494385601.0
92,576,202,shi,191,1512577.0
312,8132,3168,eye,767,51873537.0
396,24804,14602,eye,767,370702465.0
318,22100,15778,eye,761,377585251.0
438,3328,38232,shi,761,1071995073.0
36,12900,1656,shi,575,17940001.0
348,24900,1134,eye,767,59742901.0
38,6912,206,eye,573,1305217.0
510,11760,3300,shi,765,471616993.0
102,7744,424,eye,767,8731009.0
290,192,200,shi,93,12249601.0
162,22932,24500,shi,764,1858104001.0
502,12804,16072,dla,767,1900472113.0
72,10948,2214,eye,767,10296577.0
64,22100,2254,eye,571,10846801.0
300,15360,11664,shi,767,839908801.0
362,46256,4950,eye,766,288541441.0
418,38948,1890,eye,766,194712001.0
114,4352,52,shi,767,648961.0
422,14948,21462,shi,757,2684927737.0
470,48884,1078,shi,765,409501225.0
456,5760,58,dla,767,2845441.0
2,38976,41148,eye,767,6458713.0
466,9300,8624,eye,767,97029505.0
256,12800,260,shi,765,19036161.0
22,5588,1170,shi,766,2273441.0
366,37572,19600,shi,713,5339793601.0
266,8436,2254,shi,762,88773929.0
280,5376,342,eye,765,10112257.0
352,25764,1176,shi,766,188814337.0
58,48256,502,eye,695,27148161.0
72,61440,382,shi,767,28604161.0
494,42036,16366,eye,766,803503801.0
182,5252,3234,eye,762,9444865.0
470,1716,684,shi,765,14202273.0
58,1536,368,shi,287,2296321.0
138,3072,24,shi,765,177409.0
52,24272,3000,eye,759,14180401.0
56,39216,3950,shi,763,151453429.0
108,55552,13446,eye,767,162810145.0
12,37632,19440,eye,767,17514001.0
192,20480,484,shi,575,51544065.0
480,37572,19502,eye,767,1012703041.0
62,41412,576,eye,764,8816641.0
432,27540,19404,shi,767,4074935041.0
88,7680,8262,shi,766,87258961.0
178,23652,6566,shi,757,568870201.0
494,14756,2124,dla,766,265608001.0
326,28080,9200,shi,757,1409384065.0
510,8640,16,shi,767,1431041.0
78,40020,2160,dla,761,114457201.0
228,3840,368,eye,767,5817345.0
176,3220,720,shi,766,7121921.0
122,1380,8428,shi,757,30909433.0
284,32660,1782,eye,766,118918801.0
494,4864,496,eye,766,25712641.0
46,45012,2450,shi,757,81940951.0
194,44160,17658,shi,757,2523056137.0
306,49920,6156,shi,764,1567516417.0
366,30960,5800,shi,761,1147840417.0
12,18500,23814,eye,575,20610289.0
90,35264,184,eye,765,12678337.0
234,192,304,shi,767,237121.0
228,47524,3626,eye,767,106001153.0
88,43648,22680,eye,766,167838721.0
404,19780,1134,eye,764,53933041.0
38,184,236,eye,285,1910657.0
388,12212,3222,shi,765,358209073.0
494,3696,1900,eye,766,16990561.0
204,22272,16038,shi,707,1256500873.0
504,4352,648,eye,575,3923137.0
144,30464,11178,eye,767,103122433.0
256,35088,11450,shi,763,2018717441.0
280,28980,4500,shi,765,637392001.0
476,44544,9396,shi,762,3113472481.0
418,31104,41148,eye,574,1239780097.0
58,45012,8330,eye,757,51247351.0
476,3024,12550,shi,762,430659777.0
162,8960,90,shi,764,2592001.0
276,43248,4850,eye,767,231006665.0
210,17296,6450,eye,765,77515327.0
236,8208,900,eye,759,9439057.0
488,13248,31266,eye,559,641816869.0
194,3636,5390,shi,757,75415561.0
296,1280,300,shi,382,3888001.0
408,1780,23128,eye,767,56713633.0
370,11776,15714,eye,765,122248519.0
282,17664,35478,shi,761,3682629541.0
334,35956,7644,eye,760,223693705.0
126,39204,13818,eye,764,183226681.0
296,6144,420,eye,766,17418241.0
90,2304,338,shi,573,3212353.0
60,10452,1530,shi,575,24678901.0
464,7140,3024,eye,763,56904961.0
72,38400,310,shi,767,15475201.0
98,9300,10290,eye,762,24272641.0
214,15504,11450,dla,767,672005377.0
144,32640,2268,dla,575,381104641.0
88,25220,7742,dla,766,326851201.0
78,34944,298,shi,765,17622529.0
282,29040,2550,dla,761,412193761.0
278,17444,22736,eye,764,267024577.0
114,4180,2394,eye,761,6671281.0
166,25088,482,shi,767,39300353.0
258,41552,4400,eye,761,196556097.0
464,12036,3276,eye,763,123294081.0
178,29008,10300,dla,767,916797841.0
142,16644,21266,eye,766,155380681.0
246,38160,4550,dla,761,708745681.0
462,6324,1764,eye,766,34574401.0
82,9280,250,shi,767,3640001.0
178,25520,3200,shi,757,265388033.0
482,4752,350,dla,574,57708289.0
80,10752,17010,shi,765,228649681.0
24,7168,15876,dla,767,55795713.0
50,22848,14094,shi,765,287559361.0
422,36900,3078,eye,764,263613601.0
226,35088,9100,shi,757,1263698437.0
312,4608,40014,shi,575,1198653457.0
478,384,480,shi,767,11980801.0
412,26448,10650,shi,759,2040151489.0
86,52900,1692,shi,757,136360913.0
512,60500,4606,shi,763,2359138305.0
278,3456,458,shi,765,9028097.0
458,26624,3240,eye,764,89352001.0
262,3760,6800,dla,767,124493601.0
126,7680,178,eye,764,3588481.0
496,40660,738,eye,763,95009793.0
124,868,2268,dla,759,3982385.0
60,30800,2600,dla,767,92708001.0
50,17920,11826,dla,765,217996801.0
436,33572,6076,eye,759,255614593.0
492,10788,3430,dla,767,521038825.0
300,11396,9604,shi,767,639788101.0
508,152,342,eye,767,573535.0
26,6996,11368,eye,757,9554689.0
508,18020,16954,eye,759,432828701.0
432,28304,10350,eye,767,430665985.0
488,31824,450,eye,763,27145855.0
394,35700,6076,shi,757,1510383241.0
238,6804,4998,dla,762,159159169.0
76,31188,9800,eye,759,74111401.0
122,11776,62,shi,752,1666561.0
290,28672,182,dla,765,27439105.0
68,28884,3060,eye,759,35928481.0
330,1920,82,shi,574,1180801.0
28,27968,440,shi,762,7772161.0
268,1044,2934,dla,765,15390649.0
460,4708,3204,shi,765,130221953.0
176,21824,84,eye,766,5677057.0
242,24192,9396,shi,766,1018809441.0
108,5376,180,shi,767,2358721.0
366,15812,234,eye,761,10467601.0
384,25344,150,shi,575,32947201.0
402,42864,12350,shi,761,3400422325.0
302,7680,444,eye,574,35804161.0
112,40836,1350,eye,763,34339201.0
158,39600,5400,shi,757,565364449.0
68,53824,418,eye,765,29868609.0
230,16128,18630,dla,765,1203342337.0
192,26112,298,shi,767,35702785.0
16,13668,504,shi,763,2171233.0
206,7680,344,eye,574,12549121.0
484,36720,200,eye,766,13989889.0
134,47824,9050,shi,757,954637441.0
370,19152,10000,shi,765,1244206401.0
290,19824,9700,shi,765,945933137.0
498,11264,6,eye,767,628993.0
378,16644,1470,eye,764,28402921.0
382,23760,3450,eye,767,116971009.0
126,576,188,eye,764,1895041.0
434,5460,24500,shi,570,1340316001.0
122,29520,5200,eye,757,64061713.0
382,51840,23976,eye,673,995259745.0
348,256,268,eye,383,1616577.0
150,10368,512,eye,573,18247681.0
198,22692,16856,shi,766,1221854977.0
98,33744,12500,eye,762,170016001.0
472,17876,5488,eye,763,166204417.0
308,12500,16758,shi,766,1032599233.0
148,14848,41310,eye,759,196248001.0
410,28980,22442,shi,765,5080575681.0
460,11524,4230,shi,573,503897341.0
330,8064,398,shi,766,20632321.0
244,27556,594,eye,762,24837121.0
242,40832,2916,eye,766,56517121.0
288,26880,14742,dla,767,1883105281.0
172,41968,6800,shi,759,857866513.0
272,5940,2466,eye,763,27202721.0
300,38272,40176,shi,767,7521840001.0
204,1860,3234,eye,767,3965149.0
340,4484,4572,eye,765,62870081.0
272,20160,222,eye,767,23896081.0
20,196,2340,dla,765,178361.0
116,6068,10584,shi,759,201500353.0
374,22420,3258,eye,766,157542401.0
336,43008,21870,eye,767,551691001.0
340,45360,11100,shi,729,2855453689.0
318,15808,226,shi,766,23908993.0
484,816,9350,dla,766,59457025.0
276,18980,5684,dla,767,514244121.0
406,17748,2610,shi,762,370712801.0
438,9856,56,shi,766,4515841.0
94,19380,3920,eye,757,18612001.0
66,20580,18032,shi,766,499979521.0
400,8004,6468,eye,573,69996961.0
442,10660,588,dla,767,232313381.0
202,2880,504,dla,767,5091841.0
184,40660,3096,eye,763,124756417.0
334,7744,466,shi,767,29853825.0
120,42240,11016,shi,767,951892561.0
116,21504,21870,shi,759,974529631.0
44,17472,316,eye,766,4732417.0
14,4352,438,eye,570,672769.0
284,8528,2250,dla,759,122308577.0
74,31920,4300,eye,757,44789833.0
210,12580,16954,eye,765,117730999.0
238,4752,5200,eye,762,22404097.0
502,53568,16200,eye,767,784627201.0
506,25456,50,eye,766,2666161.0
336,23668,18914,shi,767,3102068929.0
334,6192,700,eye,575,8259441.0
368,18352,9000,shi,763,1233306001.0
506,3696,11350,eye,766,103751713.0
232,40832,210,shi,764,38001601.0
66,1152,12150,dla,766,18496513.0
458,14336,98,dla,766,14450689.0
368,28084,3114,eye,763,185898881.0
508,5712,7300,shi,567,505380753.0
30,37380,2156,shi,765,40760281.0
230,23460,19796,eye,753,273742321.0
430,8064,21060,dla,765,1406079361.0
376,3876,4212,eye,763,54594073.0
54,59520,28026,eye,764,163671841.0
42,25536,33210,shi,762,703129501.0
398,9476,3492,eye,765,90388481.0
486,25908,1782,shi,764,441772057.0
204,20100,3222,shi,575,296692501.0
504,11856,9100,shi,767,954643873.0
408,40228,18424,shi,767,5097786193.0
386,48500,13132,shi,757,5076400257.0
354,37604,4158,shi,761,936039721.0
208,6912,176,eye,574,5778433.0
460,30400,9396,eye,765,298597225.0
318,17664,13284,eye,761,139689133.0
472,13872,3350,shi,763,430529137.0
412,3536,5200,shi,567,223280929.0
224,2340,22442,shi,571,271573849.0
116,3536,12400,shi,759,149910049.0
106,9792,35478,eye,565,121084225.0
86,51920,9650,shi,757,786612417.0
120,17920,40,shi,767,1664001.0
56,27492,2016,eye,763,18199777.0
250,8064,86,eye,767,3380833.0
188,42180,1044,dla,764,145267921.0
402,17280,38556,eye,761,652318969.0
240,17220,3546,shi,767,420004001.0
412,1792,166,eye,767,2416961.0
294,21252,7350,dla,762,921146689.0
452,2560,288,eye,767,5690881.0
24,19008,344,eye,767,3863809.0
206,8832,258,shi,766,8470657.0
394,3264,296,eye,383,17269825.0
438,23700,3690,shi,761,731788501.0
262,25536,23004,shi,757,3039752821.0
18,41412,954,shi,764,12000897.0
104,37696,30456,dla,763,1908246913.0
296,14448,4100,eye,763,85376761.0
20,12180,1666,shi,765,7732689.0
430,23028,9800,eye,765,287136801.0
402,21156,378,eye,569,25382281.0
178,9984,408,shi,767,15275521.0
236,15120,1850,eye,759,21166369.0
308,2176,434,eye,574,6999553.0
334,1428,22148,eye,760,44699185.0
454,16640,3726,eye,762,61139521.0
12,17664,318,shi,767,1190593.0
24,32832,216,eye,767,3414529.0
266,12784,7150,shi,570,715940369.0
394,4800,70,dla,767,4118401.0
136,5376,474,eye,763,6962113.0
66,12740,846,eye,766,4060801.0
424,980,588,dla,571,20412421.0
396,24308,3510,shi,767,574439581.0
160,18096,2900,shi,765,161605633.0
438,29988,2916,eye,766,217728001.0
310,25252,396,shi,765,52737697.0
46,5476,18424,shi,757,125620849.0
200,4592,11250,shi,765,189162001.0
208,36500,2156,shi,763,261989729.0
422,36612,8134,eye,764,341399917.0
356,19796,23618,eye,759,490152549.0
56,13716,3078,dla,763,42053257.0
430,2048,20736,shi,765,285371393.0
336,8448,32562,eye,767,197137585.0
290,7684,19502,shi,765,1278541967.0
430,19824,10750,eye,765,315587321.0
238,38500,23912,eye,762,502273025.0
176,6916,3996,shi,766,128433217.0
138,44036,8036,eye,761,142430721.0
226,12672,166,eye,767,11808577.0
24,5060,1620,shi,767,3588481.0
312,34560,28026,shi,767,5666832289.0
202,2660,3042,eye,767,15031537.0
466,16724,1666,dla,767,384167005.0
276,38400,8262,eye,767,200873905.0
12,13268,3348,eye,767,3406033.0
40,13104,7400,dla,765,65782081.0
22,26896,4450,shi,670,48202045.0
14,11760,3500,eye,762,2513281.0
376,14976,334,eye,575,43350529.0
162,15360,434,shi,766,19998721.0
460,20608,2592,eye,765,46557889.0
154,5440,20574,shi,766,380260861.0
188,9600,38070,eye,759,172302001.0
412,5632,3078,dla,759,188531201.0
108,16896,40,shi,767,1797121.0
442,10608,10900,shi,661,986878153.0
148,12772,1098,shi,759,40680169.0
298,13888,17820,dla,757,1349191425.0
146,22464,58,eye,765,4134241.0
82,15972,16366,eye,565,94899421.0
128,12800,440,shi,767,15100801.0
274,7168,442,shi,767,14801697.0
122,12084,22540,dla,757,583802209.0
138,0,21060,dla,761,447236.0
274,200,166,eye,191,9926801.0
154,804,4014,dla,766,7879201.0
454,12580,1862,eye,762,28039441.0
252,5220,3672,shi,767,83538001.0
30,3136,186,eye,765,343729.0
322,11396,5390,eye,762,57441121.0
396,37296,5050,shi,767,1512868699.0
148,33792,380,shi,765,36115201.0
334,8640,182,eye,767,9539713.0
56,29380,22148,shi,763,841228501.0
32,36852,774,eye,715,5574865.0
204,1920,80,eye,575,707201.0
150,6656,27540,eye,381,99266401.0
266,7828,1206,eye,762,16946177.0
156,2548,1926,shi,767,12660883.0
458,30960,3950,eye,764,196679665.0
162,39600,6100,eye,764,131022145.0
130,60516,1098,eye,765,47338929.0
30,15444,2548,eye,573,5208529.0
60,33280,23004,shi,767,861372001.0
198,5488,11200,shi,766,248564737.0
402,12276,3234,shi,761,483864085.0
114,8320,34182,eye,761,78095321.0
326,14784,160,dla,766,15966721.0
420,9280,34344,eye,767,288786401.0
460,13680,1250,shi,693,138110401.0
270,6724,23324,dla,765,713120545.0
490,13300,3258,eye,765,116219377.0
132,1472,338,eye,575,8893457.0
58,5796,2156,eye,565,2273833.0
100,9828,4572,dla,765,71547841.0
254,5412,24402,eye,760,124958161.0
504,6004,2304,shi,767,132797953.0
252,12900,2358,eye,767,59971801.0
22,32996,15288,eye,766,33359041.0
310,26676,19306,shi,765,2801745033.0
174,16384,17496,shi,761,779529745.0
268,9380,4518,eye,765,88805809.0
240,29440,20,eye,767,2870401.0
476,17956,126,eye,764,8213941.0
388,10560,56,eye,765,4228225.0
500,3072,258,eye,767,9015553.0
280,5488,7650,dla,765,192848321.0
194,5120,354,shi,766,12234241.0
166,25668,19306,eye,757,262237339.0
294,5300,8526,shi,762,250781329.0
30,832,256,shi,705,135169.0
428,12212,774,shi,766,94623049.0
30,30900,2592,eye,609,16275169.0
224,45056,78,eye,767,14796289.0
268,24576,14418,shi,759,1484321887.0
14,34580,1332,dla,762,13278721.0
376,45012,3626,eye,763,147620233.0
490,2688,16,shi,767,409345.0
74,10560,414,shi,766,6120577.0
92,6144,11178,eye,759,12378601.0
156,13332,15484,eye,767,140337497.0
338,19968,38232,shi,757,4034665441.0
156,44800,312,eye,767,47244289.0
186,15812,2826,shi,569,187243225.0
104,1152,402,eye,571,1505089.0
56,19716,8918,shi,763,158872897.0
500,34500,1062,eye,765,107380001.0
418,7488,7776,shi,574,676164097.0
416,1940,19600,shi,763,326310401.0
272,15552,14904,shi,763,1167719937.0
338,16,362,shi,382,134665.0
